AvgTemp MaxTemp MinTemp
39 46 32
39 47 31
46 51 41
45 52 38
34 38 29
38 44 31
30 36 24
22 32 19
34 36 31
38 43 33
38 43 32
34 40 27
37 46 27
37 46 27
63 68 58
76 82 70
56 62 51
56 61 50
79 82 74
76 82 70
65 72 57
48 52 44
53 57 48
66 71 59
69 74 62
74 80 67
51 58 47
45 54 36
42 48 36
48 56 41
47 53 40
56 62 49
73 81 65
73 81 64
71 80 60
72 79 64
70 79 60
15 23 70
21 29 12
18 21 14
25 30 20
25 31 19
29 35 22
29 35 22
24 30 18
31 37 24
35 43 27
29 31 25
29 34 24
27 30 23
22 28 15
24 32 16
21 27 14
21 31 11
22 29 13
31 43 18
31 46 16
30 46 13
34 49 19
32 43 22
33 45 21
33 39 27
37 45 28
35 42 27
38 45 31
36 47 25
47 53 40
47 52 43
50 54 46
46 53 39
47 53 42
29 35 22
23 29 17
34 39 28
37 48 26
38 48 28
37 41 31
60 60 60
31 35 26
27 32 21
32 36 27
31 34 27
30 33 26
26 30 21
29 32 25
23 27 18
31 35 27
24 31 17
22 27 17
21 25 15
23 30 16
19 26 13
20 29 10
42 48 35
40 48 32
47 52 42
46 51 40
44 50 38
43 49 36
40 50 31
37 46 27
33 41 24
29 38 20
33 41 24
35 45 23
26 36 16
36 43 29
23 29 16
00 13 12
18 22 16
17 16 12
18 18 11
17 27 17
10 20 10
13 12 15
16 16 13
19 31 16
17 16 12
26 37 15
26 36 16
22 32 12
26 43 18
22 31 12
18 31 15
21 33 18
20 34 17
17 22 18
12 24 17
44 52 35
39 47 30
22 29 15
12 25 11
34 39 29
60 60 60
36 46 26
37 44 30
31 38 23
31 46 15
27 36 17
